Date,Open,High,Low,Close,Adj Close,Volume
2018-07-12,338.0,338.0,338.0,338.0,332.42840576171875,55800
2018-07-13,422.0,422.0,422.0,422.0,415.043701171875,691000
2018-07-16,525.0,525.0,348.0,380.0,373.73602294921875,31023200
2018-07-17,370.0,370.0,338.0,338.0,332.42840576171875,3540700
2018-07-18,338.0,374.0,308.0,372.0,365.867919921875,25700600
2018-07-19,374.0,412.0,364.0,412.0,405.20855712890625,38762700
2018-07-20,414.0,422.0,394.0,394.0,387.5052795410156,19987800
2018-07-23,394.0,398.0,376.0,388.0,381.60418701171875,1898600
2018-07-24,400.0,400.0,382.0,384.0,377.67010498046875,447400
2018-07-25,384.0,396.0,374.0,376.0,369.8019714355469,757900
2018-07-26,376.0,384.0,372.0,380.0,373.73602294921875,3805900
2018-07-27,380.0,388.0,380.0,382.0,375.7030944824219,5935100
2018-07-30,380.0,384.0,376.0,380.0,373.73602294921875,605300
2018-07-31,386.0,386.0,370.0,372.0,365.867919921875,252900
2018-08-01,382.0,398.0,372.0,388.0,381.60418701171875,4552800
2018-08-02,390.0,400.0,384.0,384.0,377.67010498046875,5339800
2018-08-03,374.0,384.0,372.0,374.0,367.8349609375,147700
2018-08-06,374.0,382.0,346.0,380.0,373.73602294921875,2679200
2018-08-07,380.0,380.0,366.0,376.0,369.8019714355469,12800
2018-08-08,370.0,408.0,368.0,408.0,401.27447509765625,23239600
2018-08-09,410.0,418.0,394.0,394.0,387.5052795410156,8020100
2018-08-10,394.0,396.0,390.0,390.0,383.5711975097656,409200
2018-08-13,390.0,396.0,388.0,394.0,387.5052795410156,3081300
2018-08-14,394.0,394.0,390.0,392.0,385.5382385253906,217400
2018-08-15,392.0,392.0,388.0,390.0,383.5711975097656,298500
2018-08-16,392.0,392.0,386.0,386.0,379.6371154785156,470200
2018-08-17,386.0,386.0,386.0,386.0,379.6371154785156,0
2018-08-20,384.0,388.0,382.0,388.0,381.60418701171875,793700
2018-08-21,388.0,390.0,386.0,390.0,383.5711975097656,240800
2018-08-22,390.0,390.0,390.0,390.0,383.5711975097656,0
2018-08-23,390.0,390.0,380.0,380.0,373.73602294921875,711100
2018-08-24,380.0,382.0,380.0,382.0,375.7030944824219,29700
2018-08-27,382.0,382.0,380.0,382.0,375.7030944824219,167300
2018-08-28,380.0,382.0,380.0,382.0,375.7030944824219,129100
2018-08-29,382.0,410.0,380.0,388.0,381.60418701171875,12101700
2018-08-30,386.0,388.0,384.0,384.0,377.67010498046875,333800
2018-08-31,382.0,386.0,382.0,384.0,377.67010498046875,1372100
2018-09-03,382.0,384.0,382.0,384.0,377.67010498046875,2085400
2018-09-04,382.0,384.0,378.0,380.0,373.73602294921875,3337100
2018-09-05,378.0,380.0,368.0,368.0,361.933837890625,768400
2018-09-06,368.0,374.0,366.0,372.0,365.867919921875,5304700
2018-09-07,370.0,376.0,370.0,376.0,369.8019714355469,2935800
2018-09-10,374.0,378.0,374.0,378.0,371.76904296875,2535700
2018-09-11,378.0,378.0,378.0,378.0,371.76904296875,0
2018-09-12,378.0,384.0,378.0,384.0,377.67010498046875,1974500
2018-09-13,384.0,384.0,382.0,384.0,377.67010498046875,34500
2018-09-14,382.0,382.0,380.0,380.0,373.73602294921875,154100
2018-09-17,380.0,384.0,380.0,384.0,377.67010498046875,453900
