Date,Open,High,Low,Close,Adj Close,Volume
2023-10-06,135.0,142.0,84.0,84.0,84.0,554147700
2023-10-09,60.0,86.0,60.0,68.0,68.0,129297000
2023-10-10,69.0,78.0,69.0,77.0,77.0,101527200
2023-10-11,78.0,78.0,70.0,72.0,72.0,37749700
2023-10-12,72.0,74.0,68.0,69.0,69.0,24588700
2023-10-13,61.0,71.0,61.0,67.0,67.0,16164200
2023-10-16,67.0,73.0,66.0,69.0,69.0,35695300
2023-10-17,69.0,70.0,66.0,67.0,67.0,18816000
2023-10-18,65.0,68.0,64.0,66.0,66.0,17682300
2023-10-19,75.0,75.0,65.0,66.0,66.0,20144700
2023-10-20,66.0,66.0,62.0,63.0,63.0,12589100
2023-10-23,66.0,66.0,58.0,59.0,59.0,23468200
2023-10-24,59.0,64.0,58.0,61.0,61.0,12042600
2023-10-25,69.0,69.0,59.0,60.0,60.0,71983000
2023-10-26,50.0,61.0,50.0,58.0,58.0,7843300
2023-10-27,58.0,59.0,55.0,55.0,55.0,13012100
2023-10-30,55.0,57.0,54.0,54.0,54.0,10886800
2023-10-31,54.0,62.0,52.0,53.0,53.0,44296300
2023-11-01,53.0,53.0,50.0,51.0,51.0,14852700
2023-11-02,52.0,52.0,50.0,50.0,50.0,30110800
2023-11-03,50.0,52.0,50.0,50.0,50.0,11477600
2023-11-06,51.0,51.0,50.0,50.0,50.0,7622900
2023-11-07,50.0,54.0,50.0,50.0,50.0,11017800
2023-11-08,50.0,51.0,50.0,50.0,50.0,7277200
2023-11-09,50.0,51.0,50.0,50.0,50.0,2627700
2023-11-10,50.0,50.0,50.0,50.0,50.0,1623900
2023-11-13,50.0,51.0,50.0,50.0,50.0,4126300
2023-11-14,50.0,51.0,50.0,51.0,51.0,5578300
2023-11-15,51.0,51.0,50.0,50.0,50.0,1403600
2023-11-16,50.0,63.0,50.0,57.0,57.0,26519300
2023-11-17,58.0,58.0,50.0,51.0,51.0,28669800
2023-11-20,51.0,52.0,50.0,51.0,51.0,6725900
2023-11-21,51.0,56.0,50.0,52.0,52.0,17185100
2023-11-22,53.0,53.0,50.0,51.0,51.0,4526500
2023-11-23,50.0,52.0,50.0,51.0,51.0,1277400
2023-11-24,52.0,52.0,50.0,51.0,51.0,3309800
2023-11-27,52.0,53.0,50.0,50.0,50.0,4171600
2023-11-28,51.0,52.0,50.0,51.0,51.0,2295100
2023-11-29,51.0,51.0,50.0,50.0,50.0,4634200
2023-11-30,51.0,51.0,50.0,50.0,50.0,3782000
2023-12-01,50.0,51.0,50.0,50.0,50.0,1411400
2023-12-04,50.0,51.0,50.0,50.0,50.0,2303900
2023-12-05,50.0,51.0,50.0,50.0,50.0,4267100
2023-12-06,50.0,51.0,50.0,50.0,50.0,946200
2023-12-07,50.0,51.0,50.0,50.0,50.0,821600
2023-12-08,50.0,50.0,50.0,50.0,50.0,254700
2023-12-11,50.0,50.0,50.0,50.0,50.0,198200
2023-12-12,50.0,50.0,50.0,50.0,50.0,311700
2023-12-13,50.0,50.0,50.0,50.0,50.0,152500
2023-12-14,50.0,50.0,50.0,50.0,50.0,610400
2023-12-15,50.0,50.0,50.0,50.0,50.0,1036600
2023-12-18,50.0,50.0,50.0,50.0,50.0,11200
2023-12-19,50.0,50.0,50.0,50.0,50.0,123500
2023-12-20,50.0,51.0,50.0,50.0,50.0,3360200
2023-12-21,50.0,50.0,50.0,50.0,50.0,78600
2023-12-22,50.0,50.0,50.0,50.0,50.0,5300
2023-12-27,50.0,50.0,50.0,50.0,50.0,436700
2023-12-28,50.0,50.0,50.0,50.0,50.0,55900
2023-12-29,50.0,50.0,50.0,50.0,50.0,19200
2024-01-02,50.0,50.0,50.0,50.0,50.0,52800
2024-01-03,50.0,50.0,50.0,50.0,50.0,265800
