Date,Open,High,Low,Close,Adj Close,Volume
2000-09-28,7519.896484375,7519.896484375,7102.12451171875,7519.896484375,7519.896484375,63252
2000-09-29,7519.896484375,7937.66845703125,7102.12451171875,7102.12451171875,7102.12451171875,57591
2000-10-02,7102.12451171875,7519.896484375,7102.12451171875,7519.896484375,7519.896484375,106074
2000-10-03,7519.896484375,7519.896484375,7102.12451171875,7102.12451171875,7102.12451171875,93603
2000-10-04,7102.12451171875,7102.12451171875,6684.3525390625,7102.12451171875,7102.12451171875,11483
2000-10-05,7102.12451171875,7519.896484375,7102.12451171875,7102.12451171875,7102.12451171875,15462
2000-10-06,7519.896484375,7937.66845703125,7519.896484375,7937.66845703125,7937.66845703125,143888
2000-10-09,7937.66845703125,7937.66845703125,6684.3525390625,6684.3525390625,6684.3525390625,132883
2000-10-10,7102.12451171875,7102.12451171875,7102.12451171875,7102.12451171875,7102.12451171875,2992
2000-10-11,7102.12451171875,7102.12451171875,6266.58056640625,6684.3525390625,6684.3525390625,320761
2000-10-12,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,0
2000-10-13,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,0
2000-10-16,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,0
2000-10-17,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,0
2000-10-18,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,0
2000-10-19,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,0
2000-10-20,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,0
2000-10-23,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,0
2000-10-24,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,0
2000-10-25,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,6684.3525390625,0
