Date,Open,High,Low,Close,Adj Close,Volume
2020-03-09,178.0,178.0,178.0,178.0,178.0,316500
2020-03-10,218.0,240.0,163.0,200.0,200.0,197412500
2020-03-11,204.0,226.0,192.0,202.0,202.0,415547500
2020-03-12,200.0,220.0,183.0,208.0,208.0,29808000
2020-03-13,200.0,206.0,194.0,200.0,200.0,7647400
2020-03-16,197.0,199.0,186.0,190.0,190.0,1426000
2020-03-17,190.0,190.0,177.0,189.0,189.0,362000
2020-03-18,185.0,185.0,176.0,180.0,180.0,692500
2020-03-19,168.0,210.0,168.0,197.0,197.0,20465400
2020-03-20,197.0,204.0,184.0,200.0,200.0,15140200
2020-03-23,195.0,202.0,193.0,193.0,193.0,2931200
2020-03-24,193.0,197.0,191.0,193.0,193.0,1164800
2020-03-26,192.0,220.0,191.0,210.0,210.0,16021700
2020-03-27,210.0,260.0,208.0,248.0,248.0,29247700
2020-03-30,248.0,262.0,240.0,242.0,242.0,9985900
2020-03-31,246.0,262.0,234.0,238.0,238.0,6605400
2020-04-01,238.0,244.0,228.0,228.0,228.0,1763600
2020-04-02,226.0,234.0,224.0,226.0,226.0,4638400
2020-04-03,226.0,268.0,224.0,268.0,268.0,22794500
2020-04-06,268.0,300.0,250.0,268.0,268.0,43612400
2020-04-07,266.0,282.0,250.0,250.0,250.0,21595000
2020-04-08,248.0,248.0,234.0,240.0,240.0,2105300
2020-04-09,240.0,254.0,238.0,242.0,242.0,5980300
2020-04-13,248.0,252.0,238.0,238.0,238.0,2618000
2020-04-14,238.0,240.0,232.0,240.0,240.0,1347700
2020-04-15,242.0,254.0,230.0,250.0,250.0,16053600
2020-04-16,250.0,250.0,240.0,248.0,248.0,9295300
2020-04-17,248.0,252.0,234.0,246.0,246.0,10546600
2020-04-20,244.0,246.0,230.0,240.0,240.0,11067200
2020-04-21,234.0,244.0,224.0,236.0,236.0,16183100
2020-04-22,234.0,240.0,226.0,240.0,240.0,15017400
2020-04-23,240.0,244.0,230.0,230.0,230.0,13479900
2020-04-24,228.0,244.0,214.0,236.0,236.0,27441200
2020-04-27,236.0,238.0,224.0,232.0,232.0,52686300
2020-04-28,232.0,236.0,218.0,228.0,228.0,10378600
2020-04-29,228.0,240.0,226.0,240.0,240.0,7960500
2020-04-30,238.0,244.0,230.0,244.0,244.0,6952100
2020-05-04,242.0,256.0,238.0,248.0,248.0,10668700
2020-05-05,248.0,260.0,246.0,254.0,254.0,7336700
2020-05-06,256.0,256.0,242.0,246.0,246.0,2369700
2020-05-08,248.0,260.0,238.0,252.0,252.0,7671000
2020-05-11,254.0,254.0,246.0,246.0,246.0,1504000
2020-05-12,244.0,246.0,236.0,236.0,236.0,1626300
2020-05-13,234.0,236.0,222.0,228.0,228.0,4380500
2020-05-14,228.0,232.0,226.0,230.0,230.0,2833400
2020-05-15,232.0,240.0,230.0,234.0,234.0,4766600
2020-05-18,236.0,240.0,234.0,240.0,240.0,2152000
2020-05-19,240.0,246.0,240.0,242.0,242.0,1422800
2020-05-20,242.0,242.0,236.0,240.0,240.0,800800
2020-05-26,240.0,250.0,240.0,244.0,244.0,3099300
2020-05-27,244.0,252.0,242.0,248.0,248.0,5466300
2020-05-28,250.0,250.0,246.0,248.0,248.0,1273400
2020-05-29,246.0,254.0,244.0,248.0,248.0,7057800
2020-06-02,248.0,254.0,242.0,252.0,252.0,5890200
2020-06-03,252.0,254.0,248.0,250.0,250.0,2901400
2020-06-04,250.0,250.0,242.0,246.0,246.0,1569900
2020-06-05,246.0,248.0,244.0,244.0,244.0,803100
2020-06-08,246.0,258.0,246.0,252.0,252.0,5830400
2020-06-09,252.0,254.0,250.0,250.0,250.0,1714200
2020-06-10,248.0,248.0,240.0,240.0,240.0,940000
2020-06-11,240.0,240.0,236.0,240.0,240.0,2294200
2020-06-12,236.0,238.0,234.0,236.0,236.0,1550300
2020-06-15,236.0,268.0,234.0,268.0,268.0,16521400
2020-06-16,270.0,300.0,250.0,282.0,282.0,27161400
2020-06-17,282.0,286.0,274.0,280.0,280.0,5481800
2020-06-18,276.0,284.0,276.0,278.0,278.0,2851500
2020-06-19,278.0,310.0,278.0,308.0,308.0,27034300
2020-06-22,308.0,314.0,288.0,296.0,296.0,13570800
2020-06-23,294.0,302.0,276.0,278.0,278.0,6223500
2020-06-24,260.0,274.0,260.0,262.0,262.0,919700
2020-06-25,246.0,268.0,244.0,244.0,244.0,453000
2020-06-26,234.0,244.0,228.0,228.0,228.0,1258800
2020-06-29,218.0,234.0,218.0,232.0,232.0,383400
2020-06-30,232.0,268.0,230.0,230.0,230.0,769300
2020-07-01,248.0,248.0,222.0,230.0,230.0,171300
2020-07-02,232.0,236.0,230.0,232.0,232.0,381500
2020-07-03,234.0,256.0,234.0,246.0,246.0,266900
2020-07-06,238.0,258.0,238.0,246.0,246.0,420800
2020-07-07,244.0,258.0,242.0,244.0,244.0,177100
2020-07-08,250.0,254.0,240.0,244.0,244.0,103900
2020-07-09,248.0,268.0,240.0,246.0,246.0,134500
2020-07-10,240.0,252.0,230.0,236.0,236.0,95000
2020-07-13,236.0,250.0,236.0,244.0,244.0,56600
2020-07-14,234.0,290.0,232.0,244.0,244.0,596200
2020-07-15,244.0,254.0,240.0,248.0,248.0,113500
2020-07-16,246.0,258.0,232.0,232.0,232.0,248100
2020-07-17,230.0,230.0,218.0,230.0,230.0,104600
2020-07-20,230.0,238.0,226.0,226.0,226.0,5400
2020-07-21,226.0,242.0,226.0,242.0,242.0,604200
2020-07-22,242.0,248.0,240.0,242.0,242.0,577400
2020-07-23,242.0,242.0,232.0,232.0,232.0,200
2020-07-24,230.0,242.0,230.0,232.0,232.0,438200
2020-07-27,232.0,242.0,232.0,240.0,240.0,1080100
2020-07-28,238.0,256.0,238.0,252.0,252.0,1299800
2020-07-29,262.0,262.0,246.0,256.0,256.0,1311200
2020-07-30,256.0,256.0,250.0,252.0,252.0,1841300
