Date,Open,High,Low,Close,Adj Close,Volume
2023-07-10,148.0,148.0,148.0,148.0,148.0,34179100
2023-07-11,199.0,199.0,126.0,126.0,126.0,348470300
2023-07-12,108.0,142.0,108.0,135.0,135.0,674938500
2023-07-13,136.0,145.0,135.0,137.0,137.0,200553200
2023-07-14,137.0,143.0,137.0,139.0,139.0,89232100
2023-07-17,145.0,145.0,119.0,119.0,119.0,319115700
2023-07-18,102.0,107.0,102.0,102.0,102.0,189543800
2023-07-20,87.0,97.0,87.0,94.0,94.0,199313000
2023-07-21,95.0,99.0,90.0,91.0,91.0,71866000
2023-07-24,91.0,94.0,87.0,91.0,91.0,33638900
2023-07-25,92.0,99.0,91.0,97.0,97.0,117017700
2023-07-26,98.0,99.0,94.0,96.0,96.0,38842500
2023-07-27,98.0,100.0,94.0,95.0,95.0,39095300
2023-07-28,95.0,103.0,93.0,94.0,94.0,106952600
2023-07-31,94.0,97.0,91.0,92.0,92.0,21308500
2023-08-01,90.0,94.0,87.0,94.0,94.0,30539600
2023-08-02,96.0,96.0,92.0,94.0,94.0,17766900
2023-08-03,95.0,97.0,93.0,96.0,96.0,21428000
2023-08-04,97.0,98.0,95.0,97.0,97.0,18571700
2023-08-07,100.0,100.0,96.0,99.0,99.0,14425100
2023-08-08,100.0,100.0,97.0,99.0,99.0,9600100
2023-08-09,99.0,100.0,97.0,99.0,99.0,12477300
2023-08-10,100.0,105.0,98.0,101.0,101.0,52935700
2023-08-11,101.0,103.0,100.0,101.0,101.0,13644500
2023-08-14,101.0,103.0,100.0,102.0,102.0,11461300
2023-08-15,103.0,106.0,100.0,102.0,102.0,38536500
2023-08-16,102.0,102.0,100.0,101.0,101.0,7547500
2023-08-18,102.0,103.0,100.0,102.0,102.0,10844400
2023-08-21,102.0,104.0,91.0,102.0,102.0,32874500
2023-08-22,102.0,103.0,100.0,101.0,101.0,7622100
2023-08-23,102.0,102.0,100.0,102.0,102.0,6148700
2023-08-24,102.0,102.0,100.0,102.0,102.0,6848100
2023-08-25,102.0,102.0,100.0,102.0,102.0,4285500
2023-08-28,102.0,103.0,101.0,101.0,101.0,7164700
2023-08-29,101.0,112.0,101.0,107.0,107.0,79687600
2023-08-30,112.0,112.0,102.0,102.0,102.0,36083700
2023-08-31,103.0,103.0,101.0,101.0,101.0,13922000
2023-09-01,101.0,102.0,100.0,101.0,101.0,8108100
2023-09-04,101.0,103.0,100.0,100.0,100.0,5091600
2023-09-05,101.0,112.0,100.0,100.0,100.0,211453900
2023-09-06,99.0,99.0,92.0,94.0,94.0,68321400
2023-09-07,95.0,96.0,93.0,95.0,95.0,15595600
2023-09-08,95.0,97.0,93.0,94.0,94.0,7031000
2023-09-11,94.0,95.0,90.0,92.0,92.0,15408200
2023-09-12,93.0,97.0,91.0,96.0,96.0,9793700
2023-09-13,96.0,97.0,95.0,95.0,95.0,3286000
2023-09-14,95.0,101.0,94.0,101.0,101.0,26526900
2023-09-15,101.0,136.0,101.0,136.0,136.0,294465900
2023-09-18,145.0,183.0,145.0,183.0,183.0,110086700
2023-09-19,242.0,242.0,154.0,164.0,164.0,1363267100
2023-09-20,194.0,194.0,162.0,165.0,165.0,48638600
2023-09-21,164.0,172.0,164.0,166.0,166.0,23818500
2023-09-22,166.0,170.0,166.0,169.0,169.0,34649300
2023-09-25,174.0,228.0,143.0,145.0,145.0,798051800
2023-09-26,155.0,155.0,121.0,122.0,122.0,164271300
2023-09-27,103.0,131.0,103.0,118.0,118.0,62363900
2023-09-29,120.0,125.0,115.0,121.0,121.0,48392100
2023-10-02,122.0,129.0,118.0,125.0,125.0,45345100
