Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2004-04-22,38.31398010253906,38.31398010253906,38.31398010253906,38.31398010253906,-2.572667360305786,0,-0.0671469618510162,,-2.572667360305784,-2.572667360305784,-2.572667360305784,,,,,,,,,,,,,,,,,,,,,,,,,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786
2004-04-23,38.31398010253906,38.31398010253906,38.31398010253906,38.31398010253906,-2.572667360305786,0,-0.0671469618510162,,-2.572667360305784,-2.572667360305784,-2.572667360305784,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786
2004-04-26,38.31398010253906,38.31398010253906,38.31398010253906,38.31398010253906,-2.572667360305786,0,-0.0671469618510162,,-2.572667360305784,-2.572667360305784,-2.572667360305784,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786
2004-04-27,38.31398010253906,38.31398010253906,38.31398010253906,38.31398010253906,-2.572667360305786,0,-0.0671469618510162,,-2.572667360305784,-2.572667360305784,-2.572667360305784,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,,-2.572667360305786
2004-04-28,38.31398010253906,38.31398010253906,38.31398010253906,38.31398010253906,-2.572667360305786,0,-0.0671469618510162,,-2.572667360305784,-2.572667360305784,-2.572667360305784,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786
2004-04-29,38.31398010253906,38.31398010253906,38.31398010253906,38.31398010253906,-2.572667360305786,0,-0.0671469618510162,,-2.572667360305784,-2.572667360305784,-2.572667360305784,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786
2004-04-30,38.31398010253906,38.31398010253906,38.31398010253906,38.31398010253906,-2.572667360305786,0,-0.0671469618510162,,-2.572667360305784,-2.572667360305784,-2.572667360305784,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786
2004-05-03,38.31398010253906,38.31398010253906,38.31398010253906,38.31398010253906,-2.572667360305786,0,-0.0671469618510162,,-2.572667360305784,-2.572667360305784,-2.572667360305784,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786
2004-05-04,38.31398010253906,38.31398010253906,38.31398010253906,38.31398010253906,-2.572667360305786,0,-0.0671469618510162,,-2.572667360305784,-2.572667360305784,-2.572667360305784,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,,-2.572667360305786
2004-05-05,38.31398010253906,38.31398010253906,38.31398010253906,38.31398010253906,-2.572667360305786,0,-0.0671469618510162,,-2.572667360305784,-2.572667360305784,-2.572667360305784,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,-2.572667360305786,,-2.572667360305786
